目标,类别,流量比例,访问量,更改,渠道,type
ebay.com,,11.52%,"31,717,312",↑6.24%,,destinations
ebay.uk,,6.42%,"17,671,898",↓5.79%,,destinations
ebay.de,,5.71%,"15,716,788",↑35.43%,,destinations
paypal.com,,3.37%,"9,269,345",↑16.2%,,destinations
adyen.com,,3.27%,"9,019,378",↓0.5%,,destinations
takeaway.com,,2.85%,"7,836,557",↑41.93%,,destinations
syf.com,,2.58%,"7,117,496",↑6.91%,,destinations
pay1.de,,2.17%,"5,972,019",↑31.06%,,destinations
etsy.com,,2.06%,"5,672,920",↓4.56%,,destinations
ebay.au,,1.55%,"4,277,698",↑7.48%,,destinations
google.com,,1.41%,"3,874,725",↑2.63%,,destinations
spotify.com,,1.09%,"3,002,589",↑9.67%,,destinations
landsend.com,,0.77%,"2,112,039","↑120,864.43%",,destinations
ryanair.com,,0.75%,"2,069,055",↑2%,,destinations
xoom.com,,0.65%,"1,779,100",↑17.73%,,destinations
ebay.it,,0.6%,"1,645,609",↓8.05%,,destinations
computop-paygate.com,无类别,0.54%,"1,484,711",↑32.21%,,destinations
temu.com,无类别,0.51%,"1,415,926",↓5%,,destinations
stripe.com,,0.47%,"1,300,421",↑68.44%,,destinations
recaptcha.net,无类别,0.47%,"1,285,284",↓32.93%,,destinations
worldpay.com,,0.46%,"1,269,183",↓11.6%,,destinations
netflix.com,,0.41%,"1,131,639",↑24.98%,,destinations
cardinalcommerce.com,,0.4%,"1,101,030",↓0.72%,,destinations
g2a.com,,0.37%,"1,026,611",↑59.42%,,destinations
bandcamp.com,,0.37%,"1,024,807",↑16.19%,,destinations
nintendo.com,,0.37%,"1,022,855",↑6.55%,,destinations
facebook.com,,0.36%,"990,750",↓12.12%,,destinations
joinhoney.com,,0.36%,"981,096",↑14.62%,,destinations
cdkeys.com,,0.35%,"955,830",↑0.84%,,destinations
microsoft.com,,0.35%,"953,934",↓25.53%,,destinations
mynt.xyz,,0.35%,"951,171",↑110.05%,,destinations
mollie.com,,0.33%,"897,157",↑24.53%,,destinations
nike.com,,0.3%,"817,830",↑25.3%,,destinations
ebay.fr,,0.28%,"776,539",↑3.91%,,destinations
itch.io,,0.25%,"688,402",↑56.88%,,destinations
shipstation.com,,0.24%,"669,585",↓10.64%,,destinations
kaufland.de,,0.24%,"653,469",↑39.07%,,destinations
sportsbet.au,,0.24%,"652,910",↑25.36%,,destinations
oppwa.com,无类别,0.23%,"642,567",↑30.77%,,destinations
xsolla.com,,0.23%,"625,216",↓14.37%,,destinations
paddle.com,,0.22%,"597,604",↓4.03%,,destinations
bahn.de,,0.22%,"593,168",↑1.48%,,destinations
ebay.ca,无类别,0.2%,"554,717",↓27.69%,,destinations
youtube.com,,0.19%,"534,203",↑14.59%,,destinations
fedex.com,,0.19%,"533,238",↑312.61%,,destinations
roku.com,,0.19%,"529,241",↓8.75%,,destinations
ravelry.com,,0.18%,"505,734",↑151.94%,,destinations
otto.de,,0.18%,"496,853",↑55.39%,,destinations
ogone.com,,0.18%,"496,586",↓3.63%,,destinations
stickermule.com,,0.18%,"491,348","↑1,290.86%",,destinations
guitarcenter.com,,0.02%,"53,638",↓14.42%,,destinations
pandabuy.com,无类别,0.02%,"53,583",↑8.82%,,destinations
ea.com,,0.02%,"53,560",↓39.39%,,destinations
gofundme.com,,0.02%,"53,442",↑750.17%,,destinations
affirm.com,,0.02%,"53,431",↑560.46%,,destinations
wedeservebetter.uk,无类别,0.02%,"53,416",↑100%,,destinations
kennedyblue.com,,0.02%,"53,403",↑100%,,destinations
chemistdirect.uk,,0.02%,"53,144","↑3,682.49%",,destinations
nordsec.com,无类别,0.02%,"52,920",↓40.63%,,destinations
allereifen365.de,,0.02%,"52,648",↑100%,,destinations
betano.de,无类别,0.02%,"52,648","↑1,254.12%",,destinations
winamax.fr,,0.02%,"52,634",↑73.95%,,destinations
myprotein.com,,0.02%,"52,582",↑1.3%,,destinations
salmonlatte.com,无类别,0.02%,"52,540","↑2,307.88%",,destinations
cults3d.com,,0.02%,"52,527",↑37.36%,,destinations
sunsky-online.com,,0.02%,"52,518","↑4,482.72%",,destinations
ita-airways.com,无类别,0.02%,"52,495",↓41.06%,,destinations
guthaben.de,,0.02%,"52,467",↑9.54%,,destinations
britishairways.com,,0.02%,"52,466",↓49.36%,,destinations
voelkner.de,,0.02%,"52,363",↑201.66%,,destinations
rebuy.de,,0.02%,"52,291",↑34.05%,,destinations
superbuy.com,,0.02%,"52,128",↑43.04%,,destinations
indiegala.com,,0.02%,"51,758",↑181.6%,,destinations
drmax.it,无类别,0.02%,"51,462",↑24.48%,,destinations
pizzahut.au,,0.02%,"51,426",↑579.43%,,destinations
burgerme.de,,0.02%,"51,413",↑16.59%,,destinations
waipu.tv,,0.02%,"51,351",↑26.43%,,destinations
autisminitiatives.org,,0.02%,"51,228",↑100%,,destinations
givebrite.com,,0.02%,"51,228",↑100%,,destinations
myhenry.com,无类别,0.02%,"51,228",↑100%,,destinations
wifispark.com,,0.02%,"51,228",↑224.43%,,destinations
jacksonsart.com,,0.02%,"51,193",↑950.76%,,destinations
call-a-pizza.de,,0.02%,"51,091",↑130.07%,,destinations
uci-kinowelt.de,,0.02%,"51,050",↑48.94%,,destinations
quidco.com,,0.02%,"50,985",↑11.26%,,destinations
patreon.com,,0.02%,"50,818",↑3.17%,,destinations
kivbf.de,,0.02%,"50,797",↑6.03%,,destinations
cccollect.ca,无类别,0.02%,"50,694",↑258.31%,,destinations
dyno.ca,,0.02%,"50,694",↑100%,,destinations
dynata.com,,0.02%,"50,671",↑150.17%,,destinations
mmoga.net,,0.02%,"50,494",↑45.98%,,destinations
yesstyle.com,,0.02%,"50,455","↑7,159.71%",,destinations
getyourguide.de,,0.02%,"50,424",↑171.08%,,destinations
topfarmacia.it,,0.02%,"50,422",↑157.93%,,destinations
oscato.com,无类别,0.02%,"50,378",↓47.39%,,destinations
gamersupps.gg,,0.02%,"50,372",↑145.41%,,destinations
pullandbear.com,,0.02%,"50,182",↑127.62%,,destinations
comehiro.com,无类别,0.02%,"49,977",↑100%,,destinations
booking.com,,0.02%,"49,783",↑15.02%,,destinations
boxtal.com,,0.02%,"49,609",↑359.3%,,destinations
kizik.com,,< 0.01%,"2,822","↑3,106.82%",,destinations
southbankcentre.uk,,< 0.01%,"2,819",↑20.88%,,destinations
tpay.com,,< 0.01%,"2,816",↑7.11%,,destinations
avs.sg,,< 0.01%,"2,814",↑18.78%,,destinations
ems.com,,< 0.01%,"2,814",↑107.06%,,destinations
selftax.uk,,< 0.01%,"2,812",↑194.76%,,destinations
marktplatz-daenemark.de,,< 0.01%,"2,809",↑100%,,destinations
worldwildlife.org,,< 0.01%,"2,809",↑100%,,destinations
blindsonline.au,,< 0.01%,"2,798",↓36.94%,,destinations
expedia.au,,< 0.01%,"2,798",↑168.01%,,destinations
hillpeoplegear.com,,< 0.01%,"2,798",↑2.42%,,destinations
princesspolly.au,,< 0.01%,"2,798",↑114.41%,,destinations
selby.au,,< 0.01%,"2,798",↑7.2%,,destinations
bike24.com,,< 0.01%,"2,797",↑100%,,destinations
vinegarsyndrome.com,,< 0.01%,"2,796",↓53.67%,,destinations
domainhotelli.fi,,< 0.01%,"2,791",↓52.34%,,destinations
shopperplus.ca,,< 0.01%,"2,791",↓26.67%,,destinations
10web.io,,< 0.01%,"2,787",↓2.48%,,destinations
pitchup.com,,< 0.01%,"2,787",↓10.07%,,destinations
slidesgo.com,,< 0.01%,"2,787",↑13.15%,,destinations
thejypshop.com,no category,< 0.01%,"2,786",↑180.85%,,destinations
foodspring.it,,< 0.01%,"2,785",↑69.71%,,destinations
rezdy.com,,< 0.01%,"2,783",↓6.83%,,destinations
society6.com,,< 0.01%,"2,783",↓40.06%,,destinations
simmarket.com,,< 0.01%,"2,777",↓41.3%,,destinations
toyhou.se,no category,< 0.01%,"2,777",↓55.1%,,destinations
mediamarkt.be,,< 0.01%,"2,776",↓0.07%,,destinations
horl.com,,< 0.01%,"2,774",↓10.69%,,destinations
traghettilines.it,,< 0.01%,"2,772",↑30.26%,,destinations
animationdigitalnetwork.fr,no category,< 0.01%,"2,763",↓15.06%,,destinations
azurewebsites.net,no category,< 0.01%,"2,760",↑22.07%,,destinations
playpark.com,,< 0.01%,"2,758",↓4.07%,,destinations
abelssoft.de,,< 0.01%,"2,754",↓32.71%,,destinations
komm.one,,< 0.01%,"2,750",↓37.17%,,destinations
banana-print.uk,,< 0.01%,"2,748",↓34.2%,,destinations
speedyhen.com,,< 0.01%,"2,748",↑5.09%,,destinations
stinkyinkshop.uk,,< 0.01%,"2,748",↓47.46%,,destinations
ukplanettools.uk,,< 0.01%,"2,748",↓86.51%,,destinations
vampirevape.uk,,< 0.01%,"2,748",↑53.09%,,destinations
centos-webpanel.com,,< 0.01%,"2,747",↑11.85%,,destinations
serverplan.com,,< 0.01%,"2,745",↑67.89%,,destinations
protected.de,,< 0.01%,"2,743",↑100%,,destinations
creaturesguard.com,no category,< 0.01%,"2,741",↑288.79%,,destinations
carrefour.it,,< 0.01%,"2,733",↓28.19%,,destinations
scapsules.com,no category,< 0.01%,"2,732",↑136.95%,,destinations
electronic4you.at,,< 0.01%,"2,731",↑100%,,destinations
sharepoint.com,,< 0.01%,"2,731",↓22.98%,,destinations
byclickdownloader.com,,< 0.01%,"2,729",↑333.86%,,destinations
aklamio.com,,< 0.01%,"2,724",↓24.96%,,destinations
cathaypacific.com,,< 0.01%,"2,721",↑271.72%,,destinations
ovh.pl,,< 0.01%,"2,715","↑1,375.54%",,destinations
compassion.com,,< 0.01%,"2,710",↓16%,,destinations
100percent.com,,< 0.01%,"2,709",↑100%,,destinations
101domain.com,,< 0.01%,"2,709",↑11.94%,,destinations
11thstreetcoffee.com,,< 0.01%,"2,709",↑1.08%,,destinations
32auctions.com,,< 0.01%,"2,709",↓24.1%,,destinations
42dems.org,no category,< 0.01%,"2,709",↑1.08%,,destinations
499inks.com,,< 0.01%,"2,709",↑100%,,destinations
4inkjets.com,,< 0.01%,"2,709",↑65.38%,,destinations
5bucksayard.com,no category,< 0.01%,"2,709",↑100%,,destinations
686.com,,< 0.01%,"2,709",↑100%,,destinations
abor.com,,< 0.01%,"2,709",↑100%,,destinations
acfb.org,,< 0.01%,"2,709",↑1.08%,,destinations
activationproducts.com,,< 0.01%,"2,709",↑100%,,destinations
advancedfilemanager.com,no category,< 0.01%,"2,709",↑100%,,destinations
adwdiabetes.com,,< 0.01%,"2,709",↑100%,,destinations
affcomps.com,no category,< 0.01%,"2,709","↑1,364.32%",,destinations
afsfaonline.com,,< 0.01%,"2,709",↑100%,,destinations
agvantage.com,no category,< 0.01%,"2,709",↑396.15%,,destinations
aidot.com,no category,< 0.01%,"2,709",↑100%,,destinations
airfilters.com,,< 0.01%,"2,709",↑100%,,destinations
ajdg.solutions,,< 0.01%,"2,709",↑100%,,destinations
ajeworld.com,,< 0.01%,"2,709",↑100%,,destinations
allbirds.com,,< 0.01%,"2,709",↑1.08%,,destinations
alleycat.org,,< 0.01%,"2,709",↑100%,,destinations
allstatenotarysupplies.com,no category,< 0.01%,"2,709",↑1.08%,,destinations
alquranonline.com,no category,< 0.01%,"2,709",↑100%,,destinations
americanadventurelab.com,,< 0.01%,"2,709",↑100%,,destinations
americanmedical-id.com,,< 0.01%,"2,709",↑100%,,destinations
anthem.com,,< 0.01%,"2,709",↑100%,,destinations
applegrovefarm.com,no category,< 0.01%,"2,709",↑1.08%,,destinations
aquariumcoop.com,,< 0.01%,"2,709",↑100%,,destinations
ashleyroads.com,no category,< 0.01%,"2,709",↑100%,,destinations
atwoods.com,,< 0.01%,"2,709",↑1.08%,,destinations
authenticwatches.com,,< 0.01%,"2,709",↑100%,,destinations
auto-owners.com,,< 0.01%,"2,709",↑396.15%,,destinations
autotrader.com,,< 0.01%,"2,709",↑100%,,destinations
bahaibookstore.com,,< 0.01%,"2,709",↑100%,,destinations
balfour.com,,< 0.01%,"2,709",↑65.38%,,destinations
barbellmedicine.com,,< 0.01%,"2,709",↑1.08%,,destinations
barstoolsports.com,,< 0.01%,"2,709",↑1.08%,,destinations
batteryguy.com,,< 0.01%,"2,709",↑100%,,destinations
bcclark.com,,< 0.01%,"2,709",↑1.08%,,destinations
bear-family.com,,< 0.01%,"2,709",↑100%,,destinations
beautycarechoices.com,,< 0.01%,"2,709",↑100%,,destinations
beerawardsplatform.com,no category,< 0.01%,"2,709",↑396.15%,,destinations
berettaforum.net,no category,< 0.01%,"2,709",↑396.15%,,destinations
beverlyhillseyecare.com,no category,< 0.01%,"2,709",↑100%,,destinations
bigsandysuperstore.com,,< 0.01%,"2,709",↑100%,,destinations
bikemasteres.com,no category,< 0.01%,"2,709",↑100%,,destinations
blenderpartsusa.com,,< 0.01%,"2,709",↑100%,,destinations
blindsgalore.com,,< 0.01%,"2,709",↑100%,,destinations
blindwave.com,no category,< 0.01%,"2,709",↑100%,,destinations
blossomplant.com,no category,< 0.01%,"2,709",↑100%,,destinations
blundstone.com,,< 0.01%,"2,709",↓49.46%,,destinations
bobbybead.net,,< 0.01%,"2,709",↑1.08%,,destinations
bobreynoldsmusic.com,,< 0.01%,"2,709",↑100%,,destinations
bohempia.eu,no category,< 0.01%,"2,709",↑100%,,destinations
bollandbranch.com,,< 0.01%,"2,709",↑100%,,destinations
bosecentral.com,no category,< 0.01%,"2,709",↑100%,,destinations
bosecentral.net,no category,< 0.01%,"2,709",↑100%,,destinations
boukiesgrillro.com,no category,< 0.01%,"2,709",↑100%,,destinations
brewingcompetitions.com,no category,< 0.01%,"2,709",↑632.16%,,destinations
brooklynbedding.com,,< 0.01%,"2,709",↑100%,,destinations
bvtonlinen.site,no category,< 0.01%,"2,709",↑100%,,destinations
calcasieuclerk.gov,no category,< 0.01%,"2,709",↑1.08%,,destinations
candynation.com,,< 0.01%,"2,709",↑100%,,destinations
caninesuperfoods.com,no category,< 0.01%,"2,709",↑100%,,destinations
capecoralbreeze.com,no category,< 0.01%,"2,709",↑100%,,destinations
capitalgroup.com,,< 0.01%,"2,709",↑1.08%,,destinations
carala.org,no category,< 0.01%,"2,709",↑100%,,destinations
caramels.com,no category,< 0.01%,"2,709",↑100%,,destinations
carlasonheim.com,,< 0.01%,"2,709",↑100%,,destinations
carnival.com,,< 0.01%,"2,709",↑1.08%,,destinations
cathe.com,,< 0.01%,"2,709",↑100%,,destinations
caudabe.com,,< 0.01%,"2,709",↑396.15%,,destinations
cavalierrescuetrust.org,no category,< 0.01%,"2,709",↑100%,,destinations
cellfixunlock.net,no category,< 0.01%,"2,709",↑396.15%,,destinations
centeredgeonline.com,,< 0.01%,"2,709",↑100%,,destinations
centralmontessoriacademy.com,,< 0.01%,"2,709",↑100%,,destinations
cff.org,,< 0.01%,"2,709",↑100%,,destinations
cgpersia.com,,< 0.01%,"2,709",↑1.08%,,destinations
charter.us,,< 0.01%,"2,709",↑99.34%,,destinations
chestnuthill.org,no category,< 0.01%,"2,709",↑100%,,destinations
chief.com,no category,< 0.01%,"2,709",↑1.08%,,destinations
chloe.com,,< 0.01%,"2,709",↑100%,,destinations
chonggraduate.site,no category,< 0.01%,"2,709",↑100%,,destinations
clanmacleodusa.org,no category,< 0.01%,"2,709",↑100%,,destinations
clay-king.com,,< 0.01%,"2,709",↑100%,,destinations
cltbikecamp.org,no category,< 0.01%,"2,709",↑1.08%,,destinations
coach.com,,< 0.01%,"2,709",↑1.08%,,destinations
