destination,category,traffic_share,visits,changes,channel,type
stripe.network,无类别,14.53%,"9,783,180",↑14.01%,,destinations
sendwave.com,,2.78%,"1,870,285",↓8.58%,,destinations
roblox.com,,2.73%,"1,838,609",↑15.78%,,destinations
amazon.nl,,2.34%,"1,575,972",↑25.77%,,destinations
google.com,,2.22%,"1,492,881",↑24.63%,,destinations
amazonaws.com,无类别,2.19%,"1,476,818",↓9.6%,,destinations
stripe.com,,2.16%,"1,454,832",↑38.06%,,destinations
tabsquare.com,,1.49%,"1,003,781",↓22.43%,,destinations
link.com,无类别,1.43%,"961,147",↑1.13%,,destinations
jiffyshirts.com,,1.4%,"943,677",↑100%,,destinations
clientsecure.me,,1.13%,"763,929","↑1,821.35%",,destinations
